ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
5.46,288.12,3.939,5.8,-7.08,9.152398593,,5.46,288.12,3.939,7.06,-8.63,11.14991031,,5.46,288.12,3.939,7.06,-8.63,11.1499103135406,,0.885129919055263,2.4559262464981
10,284.91,3.94,6.33,-8.51,10.60608316,,10,284.91,3.94,6.33,-8.51,10.60608316,,10,284.91,3.94,6.33,-8.51,10.6060831601492,,0.931255219919979,2.50205154674425
20,285.11,3.943,6.98,-9.65,11.90978169,,20,285.11,3.943,6.98,-9.65,11.90978169,,20,285.11,3.943,6.98,-9.65,11.909781694053,,0.944592786962577,2.51538911447411
40,284.88,3.854,7.93,-8.21,11.4144207,,40,284.88,3.854,7.24,-7.49,10.4144207,,40,284.88,3.854,7.24,-7.49,10.4171829205405,,0.802112290369998,2.3734394543114
50,284.76,3.809,8.76,-7.26,11.37739865,,50,284.76,3.809,7.99,-6.62,10.37739865,,50,284.76,3.809,7.99,-6.62,10.376150538615,,0.692045328694355,2.26259686037176
60,284.65,3.765,9.11,-8.56,12.50062798,,60,284.65,3.765,8.38,-7.88,11.50062798,,60,284.65,3.765,8.38,-7.88,11.5029909154098,,0.754439018995382,2.32564708944467
70,284.53,3.721,9.75,-8.33,12.82386057,,70,284.53,3.721,8.99,-7.68,11.82386057,,70,284.53,3.721,8.99,-7.68,11.8238107224363,,0.706979983909837,2.27776777424775
80,284.42,3.721,9.22,-7.98,12.1938017,,80,284.42,3.677,8.46,-7.33,11.1938017,,80,284.42,3.677,8.46,-7.33,11.1937705890375,,0.713958886791859,2.28474959776065
90,284.3,3.632,9.23,-8.21,12.35301583,,90,284.3,3.632,8.48,-7.55,11.35301583,,90,284.3,3.632,8.48,-7.55,11.3539816804503,,0.727351345744575,2.29831897819253
100,284.19,3.632,9.41,-8.74,12.84272946,,100,284.19,3.588,8.68,-8.06,11.84272946,,100,284.19,3.588,8.68,-8.06,11.8450833682165,,0.748163969311633,2.31935895670456
110,284.07,3.543,9.56,-9.11,13.20551779,,110,284.07,3.543,8.84,-8.42,12.20551779,,110,284.07,3.543,8.84,-8.42,12.2082758815486,,0.760831972878769,2.33208082858351
120,283.95,3.543,9.41,-8.7,12.81554135,,120,283.95,3.499,8.68,-8.02,11.81554135,,120,283.95,3.499,8.68,-8.02,11.8179016750014,,0.745681532850581,2.31687867957667
130,283.84,3.454,9.53,-8.31,12.6442477,,130,283.84,3.454,8.78,-7.65,11.6442477,,130,283.84,3.454,8.78,-7.65,11.6452093154224,,0.716634884959827,2.28759795487971
140,283.73,3.454,9.89,-7.4,12.35200793,,140,283.73,3.41,9.09,-6.8,11.35200793,,140,283.73,3.41,9.09,-6.8,11.3520086328367,,0.642267763794249,2.2130642196678
150,283.61,3.454,10.12,-7.51,12.60216251,,150,283.61,3.366,9.32,-6.91,11.60216251,,150,283.61,3.366,9.32,-6.91,11.6021765199466,,0.637983245769634,2.20878209652688
160,283.5,3.321,10.37,-7.32,12.69327775,,160,283.5,3.321,9.55,-6.74,11.69327775,,160,283.5,3.321,9.55,-6.74,11.688887885509,,0.615112459640695,2.18511212223798
