ht,pot,mix,u,v,ws
5.46,288.12,3.939,5.8,-7.08,9.152398593
10,284.91,3.94,6.33,-8.51,10.60608316
20,285.11,3.943,6.98,-9.65,11.90978169
259.9,282.35,2.878,7.1,-9.42,11.79603323
266.3,282.1,2.88,7.18,-9.49,11.90010504
272.7,281.94,2.881,7.32,-9.64,12.10421414
279,281.78,2.882,7.38,-9.72,12.20421239
285.4,281.72,2.882,7.45,-9.78,12.29434423
291.8,281.56,2.883,7.53,-9.85,12.39852411
298.2,281.41,2.883,7.61,-9.92,12.5027397
304.5,281.34,2.884,7.67,-10,12.60273383
310.9,281.18,2.885,7.75,-10.06,12.69905902
317.3,281.13,2.885,7.89,-10.21,12.90334065
323.6,280.97,2.886,7.97,-10.27,12.99976154
330,280.9,2.886,8.03,-10.35,13.09974809
336.4,280.75,2.887,8.11,-10.42,13.20410921
342.8,280.59,2.888,8.19,-10.48,13.30062029
349.2,280.53,2.888,8.25,-10.56,13.40060073
355.7,280.37,2.889,8.39,-10.7,13.59713573
362.3,280.31,2.889,8.45,-10.78,13.69711283
368.8,280.16,2.89,8.49,-10.75,13.69826996
375.3,280,2.891,8.53,-10.72,13.69960948
381.9,279.93,2.891,8.57,-10.69,13.70113134
388.4,279.78,2.892,8.58,-10.68,13.69959123
394.9,279.72,2.892,8.62,-10.65,13.70134665
401.5,279.56,2.893,8.66,-10.62,13.70328428
408,279.41,2.894,8.63,-10.51,13.59915439
414.5,279.34,2.894,8.65,-10.49,13.59641865
421.1,279.18,2.895,8.69,-10.46,13.59881245
427.6,279.13,2.895,8.72,-10.43,13.59497334
432.7,278.97,2.896,8.76,-10.4,13.59770569
437.2,278.81,2.897,8.78,-10.39,13.60295924
441.8,278.76,2.897,8.81,-10.36,13.59947425
446.3,278.59,2.898,8.85,-10.33,13.60262475
450.9,278.55,2.898,8.89,-10.3,13.60595825
455.4,278.41,2.899,8.9,-10.28,13.59736739
460,278.27,2.9,8.94,-10.25,13.60095952
464.5,278.23,2.9,8.98,-10.22,13.60473447
469.1,278.09,2.901,9.01,-10.19,13.60206602
473.6,278.05,2.901,9.03,-10.17,13.60036029
478.2,277.91,2.902,9.06,-10.14,13.5979116
482.7,277.77,2.903,9.1,-10.11,13.6022829
487.3,277.73,2.903,9.14,-10.07,13.59943014
491.6,277.59,2.904,9.17,-10.04,13.59744461
495.8,277.54,2.904,9.19,-10.03,13.60356571
499.9,277.4,2.905,9.22,-9.99,13.59442901
504.1,277.36,2.905,9.26,-9.96,13.59960294
508.2,277.22,2.906,9.29,-9.93,13.59812487
512.4,277.18,2.906,9.31,-9.91,13.59721295
516.5,277.14,2.906,9.34,-9.88,13.59595528
520.7,277,2.907,9.38,-9.85,13.60172416
524.8,276.96,2.907,9.41,-9.82,13.60075366
529,276.92,2.907,9.45,-9.78,13.59966544
533.1,276.78,2.908,9.46,-9.77,13.59943014
537.2,276.74,2.908,9.5,-9.73,13.59863596
541.4,276.7,2.908,9.53,-9.7,13.59819473
545.4,276.56,2.909,9.57,-9.67,13.60491823
549.2,276.52,2.909,9.6,-9.63,13.59767995
553,276.39,2.91,9.63,-9.6,13.59767995
556.7,276.36,2.91,9.65,-9.58,13.59775349
560.5,276.32,2.91,9.68,-9.55,13.59797411
564.3,276.18,2.911,9.72,-9.52,13.60546949
568.1,276.15,2.911,9.75,-9.48,13.59900364
571.9,276.12,2.911,9.78,-9.45,13.59966544
575.6,275.98,2.912,9.82,-9.41,13.60075366
579.4,275.95,2.912,9.83,-9.4,13.60106246
583.2,275.91,2.912,9.87,-9.36,13.60244463
587,275.78,2.913,9.9,-9.33,13.60363554
590.8,275.74,2.913,9.93,-9.29,13.59812487
