ht_new,ln_ht_new,u_new,v_new,ws_new,,ht_old,ln_ht_old,u_old,v_old,ws_old,,ws_adj,,,ln_ht_old_old,ht,,,u,v,ws_old_old,,ht_new_new,temp,moisture,u_new_new,v_new_new,ws_new_new,ln_ht
5.46,1.70,7.70,-9.40,12.14930533,,5.28,1.663926098,5.40,-6.70,8.605230967,,12.14930533,,,1.663926098,5.28,289.07,3.939,5.4,-6.7,8.605230967,,5.46,288.12,3.94,7.70,-9.40,12.14930533,1.69744879
10.00,2.30,8.12,-10.92,13.60811523,,5.33,1.673351238,5.33,-6.34,8.279721976,,13.60811523,,,1.673351238,5.33,288.23,3.939,5.33,-6.336,8.279721976,,10.00,284.91,3.94,8.12,-10.92,13.60811523,2.302585093
20.00,3.00,9.97,-13.78,17.0085067,,5.77,1.752672081,6.66,-8.20,10.56388186,,17.0085067,,,1.752672081,5.77,287.05,3.939,6.66,-8.2,10.56388186,,20.00,285.11,3.94,9.97,-13.78,17.0085067,2.995732274
259.9,5.56,7.10,-9.42,11.79603323,,10,2.302585093,6.33,-8.51,10.60608316,,17.05070799,,,2.302585093,10,284.91,3.94,6.33,-8.51,10.60608316,,259.9,282.35,2.878,7.1,-9.42,16.89475823,5.560296942
266.3,5.58,7.18,-9.49,11.90010504,,20,2.995732274,6.98,-9.65,11.90978169,,18.35440653,,,2.995732274,20,285.11,3.943,6.98,-9.65,11.90978169,,266.3,282.1,2.88,7.18,-9.49,16.99883004,5.584623493
272.7,5.61,7.32,-9.64,12.10421414,,259.9,5.560296942,7.10,-9.42,11.79603323,,18.24065806,,,5.560296942,259.9,282.35,2.878,7.1,-9.42,11.79603323,,272.7,281.94,2.881,7.32,-9.64,17.20293914,5.60837229
279,5.63,7.38,-9.72,12.20421239,,266.3,5.584623493,7.18,-9.49,11.90010504,,18.34472987,,,5.584623493,266.3,282.1,2.88,7.18,-9.49,11.90010504,,279,281.78,2.882,7.38,-9.72,17.30293739,5.631211782
285.4,5.65,7.45,-9.78,12.29434423,,272.7,5.60837229,7.32,-9.64,12.10421414,,18.54883898,,,5.60837229,272.7,281.94,2.881,7.32,-9.64,12.10421414,,285.4,281.72,2.882,7.45,-9.78,17.39306923,5.653891705
291.8,5.68,7.53,-9.85,12.39852411,,279,5.631211782,7.38,-9.72,12.20421239,,18.64883722,,,5.631211782,279,281.78,2.882,7.38,-9.72,12.20421239,,291.8,281.56,2.883,7.53,-9.85,17.49724911,5.676068636
298.2,5.70,7.61,-9.92,12.5027397,,285.4,5.653891705,7.45,-9.78,12.29434423,,18.73896906,,,5.653891705,285.4,281.72,2.882,7.45,-9.78,12.29434423,,298.2,281.41,2.883,7.61,-9.92,17.6014647,5.697764402
304.5,5.72,7.67,-10.00,12.60273383,,291.8,5.676068636,7.53,-9.85,12.39852411,,18.84314894,,,5.676068636,291.8,281.56,2.883,7.53,-9.85,12.39852411,,304.5,281.34,2.884,7.67,-10,17.70145883,5.718671087
310.9,5.74,7.75,-10.06,12.69905902,,298.2,5.697764402,7.61,-9.92,12.5027397,,18.94736453,,,5.697764402,298.2,281.41,2.883,7.61,-9.92,12.5027397,,310.9,281.18,2.885,7.75,-10.06,17.79778402,5.739471317
